, ,제 52 기 1분기,Unnamed: 2,제 51 기 1분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),4884926,4884926,5043585,5043585
2,기타포괄손익,1039168,1039168,2825360,2825360
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-1189281,-1189281,568727,568727
4,        기타포괄손익-공정가치금융자산평가손익,-1109611,-1109611,608081,608081
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-46974,-46974,-2120,-2120
6,        순확정급여부채 재측정요소,-32696,-32696,-37234,-37234
7,    후속적으로 당기손익으로 재분류되는 포괄손익,2228449,2228449,2256633,2256633
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,28944,28944,37715,37715
9,        해외사업장환산외환차이,2228543,2228543,2209376,2209376
10,        현금흐름위험회피파생상품평가손익,-29038,-29038,9542,9542
11,총포괄손익,5924094,5924094,7868945,7868945
12,포괄손익의 귀속, , , , 
13,    지배기업 소유주지분,5971500,5971500,7837573,7837573
14,    비지배지분,-47406,-47406,31372,31372
