, ,제 52 기 3분기,Unnamed: 2,제 51 기 3분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),9360693,19800702,6287664,16511825
2,기타포괄손익,-588515,706687,1823973,6405617
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,758700,1085436,172057,905737
4,        기타포괄손익-공정가치금융자산평가손익,773032,1162371,188193,978090
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-6345,-31496,-905,-2662
6,        순확정급여부채(자산) 재측정요소,-7987,-45439,-15231,-69691
7,    후속적으로 당기손익으로 재분류되는 포괄손익,-1347215,-378749,1651916,5499880
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-15349,8934,36397,101816
9,        해외사업장환산외환차이,-1329770,-360459,1609488,5386506
10,        현금흐름위험회피파생상품평가손익,-2096,-27224,6031,11558
11,총포괄손익,8772178,20507389,8111637,22917442
12,포괄손익의 귀속, , , , 
13,    지배기업 소유주지분,8601269,20245874,7917242,22550166
14,    비지배지분,170909,261515,194395,367276
